Date,Open,High,Low,Close,Volume,MarketCap
2-Jan-18,13625.00,15444.60,13163.60,14982.10,16846600192.00,251377913955.00
3-Jan-18,14978.20,15572.80,14844.50,15201.00,16871900160.00,255080562912.00
4-Jan-18,15270.70,15739.70,14522.20,15599.20,21783199744.00,261795321110.00
5-Jan-18,15477.20,17705.20,15202.80,17429.50,23840899072.00,292544135538.00
6-Jan-18,17462.10,17712.40,16764.60,17527.00,18314600448.00,294217423675.00
7-Jan-18,17527.30,17579.60,16087.70,16477.60,15866000384.00,276634797271.00
8-Jan-18,16476.20,16537.90,14208.20,15170.10,18413899776.00,254715263101.00
9-Jan-18,15123.70,15497.50,14424.00,14595.40,16659999744.00,245095808695.00
10-Jan-18,14588.50,14973.30,13691.20,14973.30,18500800512.00,251472635522.00
11-Jan-18,14968.20,15018.80,13105.90,13405.80,16534099968.00,225178724050.00
12-Jan-18,13453.90,14229.90,13158.10,13980.60,12065699840.00,234865160377.00
13-Jan-18,13952.40,14659.50,13952.40,14360.20,12763599872.00,241268592240.00
14-Jan-18,14370.80,14511.80,13268.00,13772.00,11084099584.00,231413491364.00
15-Jan-18,13767.30,14445.50,13641.70,13819.80,12750799872.00,232242775485.00
16-Jan-18,13836.10,13843.10,10194.90,11490.50,18853799936.00,193121120762.00
17-Jan-18,11431.10,11678.00,9402.29,11188.60,18830600192.00,188070430523.00
18-Jan-18,11198.80,12107.30,10942.50,11474.90,15020399616.00,192907550324.00
19-Jan-18,11429.80,11992.80,11172.10,11607.40,10740400128.00,195158837709.00
20-Jan-18,11656.20,13103.00,11656.20,12899.20,11801700352.00,216907619830.00
21-Jan-18,12889.20,12895.90,11288.20,11600.10,9935179776.00,195089460991.00
22-Jan-18,11633.10,11966.40,10240.20,10931.40,10537400320.00,183866421285.00
23-Jan-18,10944.50,11377.60,10129.70,10868.40,9660609536.00,182830257191.00
24-Jan-18,10903.40,11501.40,10639.80,11359.40,9940989952.00,191115225673.00
25-Jan-18,11421.70,11785.70,11057.40,11259.40,8873169920.00,189455303273.00
26-Jan-18,11256.00,11656.70,10470.30,11171.40,9746199552.00,187995804677.00
27-Jan-18,11174.90,11614.90,10989.20,11440.70,7583269888.00,192550550498.00
28-Jan-18,11475.30,12040.30,11475.30,11786.30,8350360064.00,198389948175.00
29-Jan-18,11755.50,11875.60,11179.20,11296.40,7107359744.00,190164444830.00
30-Jan-18,11306.80,11307.20,10036.20,10106.30,8637859840.00,170151556678.00
31-Jan-18,10108.20,10381.60,9777.42,10221.10,8041160192.00,172099559942.00
1-Feb-18,10237.30,10288.80,8812.28,9170.54,9959400448.00,154428564694.00
2-Feb-18,9142.28,9142.28,7796.49,8830.75,12726899712.00,148725283812.00
3-Feb-18,8852.12,9430.75,8251.63,9174.91,7263790080.00,154540000411.00
4-Feb-18,9175.70,9334.87,8031.22,8277.01,7073549824.00,139433682759.00
5-Feb-18,8270.54,8364.84,6756.68,6955.27,9285289984.00,117184385122.00
6-Feb-18,7051.75,7850.70,6048.26,7754.00,13999800320.00,130658094648.00
7-Feb-18,7755.49,8509.11,7236.79,7621.30,9169280000.00,128435001186.00
8-Feb-18,7637.86,8558.77,7637.86,8265.59,9346750464.00,139306699929.00
9-Feb-18,8271.84,8736.98,7884.71,8736.98,6784820224.00,147266052809.00
10-Feb-18,8720.08,9122.55,8295.47,8621.90,7780960256.00,145341842785.00
11-Feb-18,8616.13,8616.13,7931.10,8129.97,6122189824.00,137064586975.00
12-Feb-18,8141.43,8985.92,8141.43,8926.57,6256439808.00,150513128412.00
13-Feb-18,8926.72,8958.47,8455.41,8598.31,5696719872.00,144995984203.00
14-Feb-18,8599.92,9518.54,8599.92,9494.63,7909819904.00,160131558835.00
15-Feb-18,9488.32,10234.80,9395.58,10166.40,9062540288.00,171477807437.00
16-Feb-18,10135.70,10324.10,9824.82,10233.90,7296159744.00,172637061144.00
17-Feb-18,10207.50,11139.50,10149.40,11112.70,8660880384.00,187482083882.00
18-Feb-18,11123.40,11349.80,10326.00,10551.80,8744009728.00,178040648022.00
19-Feb-18,10552.60,11273.80,10513.20,11225.30,7652089856.00,189426791571.00
20-Feb-18,11231.80,11958.50,11231.80,11403.70,9926540288.00,192457815912.00
21-Feb-18,11372.20,11418.50,10479.10,10690.40,9405339648.00,180442459820.00
22-Feb-18,10660.40,11039.10,9939.09,10005.00,8040079872.00,168892273935.00
23-Feb-18,9937.07,10487.30,9734.56,10301.10,7739500032.00,173909350860.00
24-Feb-18,10287.70,10597.20,9546.97,9813.07,6917929984.00,165687799108.00
25-Feb-18,9796.42,9923.22,9407.06,9664.73,5706939904.00,163204062358.00
26-Feb-18,9669.43,10475.00,9501.73,10366.70,7287690240.00,175076064010.00
27-Feb-18,10393.90,10878.50,10246.10,10725.60,6966179840.00,181158869820.00
28-Feb-18,10687.20,11089.80,10393.10,10397.90,6936189952.00,175644310997.00
1-Mar-18,10385.00,11052.30,10352.70,10951.00,7317279744.00,185009753075.00
2-Mar-18,10977.40,11189.00,10850.10,11086.40,7620590080.00,187318996197.00
3-Mar-18,11101.90,11528.20,11002.40,11489.70,6690570240.00,194159120569.00
4-Mar-18,11497.40,11512.60,11136.10,11512.60,6084149760.00,194567395376.00
5-Mar-18,11532.40,11704.10,11443.90,11573.30,6468539904.00,195614809925.00
6-Mar-18,11500.10,11500.10,10694.30,10779.90,6832169984.00,182225316082.00
7-Mar-18,10803.90,10929.50,9692.12,9965.57,8797910016.00,168479670395.00
8-Mar-18,9951.44,10147.40,9335.87,9395.01,7186089984.00,158852238332.00
9-Mar-18,9414.69,9466.35,8513.03,9337.55,8704190464.00,157898203939.00
10-Mar-18,9350.59,9531.32,8828.47,8866.00,5386319872.00,149939797150.00
11-Mar-18,8852.78,9711.89,8607.12,9578.63,6296370176.00,162009710243.00
12-Mar-18,9602.93,9937.50,8956.43,9205.12,6457399808.00,155710928717.00
